// 資料來源: http://www.cns11643.gov.tw/AIDB/welcome.do
// 格式說明: Unicode, CNS字面, CNS編碼, 字形
3000,1,2121,　
FF0C,1,2122,，
3001,1,2123,、
3002,1,2124,。
FF0E,1,2125,．
2027,1,2126,‧
FF1B,1,2127,；
FF1A,1,2128,：
FF1F,1,2129,？
FF01,1,212A,！
FE30,1,212B,︰
2026,1,212C,…
2025,1,212D,‥
FE50,1,212E,﹐
FE51,1,212F,﹑
FE52,1,2130,﹒
00B7,1,2131,·
FE54,1,2132,﹔
FE55,1,2133,﹕
FE56,1,2134,﹖
FE57,1,2135,﹗
FF5C,1,2136,｜
2015,1,2137,―
FE31,1,2138,︱
2014,1,2139,—
FE33,1,213A,︳
2574,1,213B,╴
FE34,1,213C,︴
FE4F,1,213D,﹏
FF08,1,213E,（
FF09,1,213F,）
FE35,1,2140,︵
FE36,1,2141,︶
FF5B,1,2142,｛
FF5D,1,2143,｝
FE37,1,2144,︷
FE38,1,2145,︸
3014,1,2146,〔
3015,1,2147,〕
FE39,1,2148,︹
FE3A,1,2149,︺
3010,1,214A,【
3011,1,214B,】
FE3B,1,214C,︻
FE3C,1,214D,︼
300A,1,214E,《
300B,1,214F,》
FE3D,1,2150,︽
FE3E,1,2151,︾
3008,1,2152,〈
3009,1,2153,〉
FE3F,1,2154,︿
FE40,1,2155,﹀
300C,1,2156,「
300D,1,2157,」
FE41,1,2158,﹁
FE42,1,2159,﹂
300E,1,215A,『
300F,1,215B,』
FE43,1,215C,﹃
FE44,1,215D,﹄
FE59,1,215E,﹙
FE5A,1,215F,﹚
FE5B,1,2160,﹛
FE5C,1,2161,﹜
FE5D,1,2162,﹝
FE5E,1,2163,﹞
2018,1,2164,‘
2019,1,2165,’
201C,1,2166,“
201D,1,2167,”
301D,1,2168,〝
301E,1,2169,〞
2035,1,216A,‵
2032,1,216B,′
FF03,1,216C,＃
FF06,1,216D,＆
FF0A,1,216E,＊
203B,1,216F,※
00A7,1,2170,§
3003,1,2171,〃
25CB,1,2172,○
25CF,1,2173,●
25B3,1,2174,△
25B2,1,2175,▲
25CE,1,2176,◎
2606,1,2177,☆
2605,1,2178,★
25C7,1,2179,◇
25C6,1,217A,◆
25A1,1,217B,□
25A0,1,217C,■
25BD,1,217D,▽
25BC,1,217E,▼
32A3,1,2221,㊣
2105,1,2222,℅
203E,1,2223,‾
FFE3,1,2224,￣
FF3F,1,2225,＿
02CD,1,2226,ˍ
FE49,1,2227,﹉
FE4A,1,2228,﹊
FE4D,1,2229,﹍
FE4E,1,222A,﹎
FE4B,1,222B,﹋
FE4C,1,222C,﹌
FE5F,1,222D,﹟
FE60,1,222E,﹠
FE61,1,222F,﹡
FF0B,1,2230,＋
FF0D,1,2231,－
00D7,1,2232,×
00F7,1,2233,÷
00B1,1,2234,±
221A,1,2235,√
FF1C,1,2236,＜
FF1E,1,2237,＞
FF1D,1,2238,＝
2266,1,2239,≦
2267,1,223A,≧
2260,1,223B,≠
221E,1,223C,∞
2252,1,223D,≒
2261,1,223E,≡
FE62,1,223F,﹢
FE63,1,2240,﹣
FE64,1,2241,﹤
FE65,1,2242,﹥
FE66,1,2243,﹦
FF5E,1,2244,～
2229,1,2245,∩
222A,1,2246,∪
22A5,1,2247,⊥
2220,1,2248,∠
221F,1,2249,∟
22BF,1,224A,⊿
33D2,1,224B,㏒
33D1,1,224C,㏑
222B,1,224D,∫
222E,1,224E,∮
2235,1,224F,∵
2234,1,2250,∴
2640,1,2251,♀
2642,1,2252,♂
2295,1,2253,⊕
2299,1,2254,⊙
2191,1,2255,↑
2193,1,2256,↓
2190,1,2257,←
2192,1,2258,→
2196,1,2259,↖
2197,1,225A,↗
2199,1,225B,↙
2198,1,225C,↘
2225,1,225D,∥
2223,1,225E,∣
FF0F,1,225F,／
FF3C,1,2260,＼
2215,1,2261,∕
FE68,1,2262,﹨
FF04,1,2263,＄
FFE5,1,2264,￥
3012,1,2265,〒
FFE0,1,2266,￠
FFE1,1,2267,￡
FF05,1,2268,％
FF20,1,2269,＠
2103,1,226A,℃
2109,1,226B,℉
FE69,1,226C,﹩
FE6A,1,226D,﹪
FE6B,1,226E,﹫
33D5,1,226F,㏕
339C,1,2270,㎜
339D,1,2271,㎝
339E,1,2272,㎞
33CE,1,2273,㏎
33A1,1,2274,㎡
